source_domain,source_dataset,source_variable,label,data_type,missing_rate,unique_count,form_name,grain,keys,concept_roles,format_candidates,partial_tokens,record_count
AE,ae_main,AEBODSYS,Adverse event body system,character,0,3,Adverse Events,one_record_per_event,STUDY | PATNUM | AEID,,,,5
AE,ae_main,AEDECOD,Coded adverse event term,character,0,5,Adverse Events,one_record_per_event,STUDY | PATNUM | AEID,,,,5
AE,ae_main,AEENDDAT,AEENDDAT,character,0.2,4,Adverse Events,one_record_per_event,STUDY | PATNUM | AEID,,dd-mmm-yyyy,UNK,5
AE,ae_main,AEENDTIM,AEENDTIM,hms,0.6,2,Adverse Events,one_record_per_event,STUDY | PATNUM | AEID,,H:M,,5
AE,ae_main,AEID,AEID,numeric,0,2,Adverse Events,one_record_per_event,STUDY | PATNUM | AEID,join_key,,,5
AE,ae_main,AEONGO,AEONGO,character,0,2,Adverse Events,one_record_per_event,STUDY | PATNUM | AEID,,,,5
AE,ae_main,AEOUTCOME,Adverse event outcome,character,0,3,Adverse Events,one_record_per_event,STUDY | PATNUM | AEID,,,,5
AE,ae_main,AEREL,AEREL,character,0,3,Adverse Events,one_record_per_event,STUDY | PATNUM | AEID,,,,5
AE,ae_main,AESER,AESER,character,0,2,Adverse Events,one_record_per_event,STUDY | PATNUM | AEID,,,,5
AE,ae_main,AESEV,AESEV,character,0,3,Adverse Events,one_record_per_event,STUDY | PATNUM | AEID,,,,5
AE,ae_main,AESTDAT,AESTDAT,character,0,5,Adverse Events,one_record_per_event,STUDY | PATNUM | AEID,,dd-mmm-yyyy,UNK,5
AE,ae_main,AESTTIM,AESTTIM,hms,0.6,2,Adverse Events,one_record_per_event,STUDY | PATNUM | AEID,,H:M,,5
AE,ae_main,AETERM,AETERM,character,0,5,Adverse Events,one_record_per_event,STUDY | PATNUM | AEID,,,,5
AE,ae_main,PATNUM,Subject identifier,character,0,4,Adverse Events,one_record_per_event,STUDY | PATNUM | AEID,join_key,,,5
AE,ae_main,STUDY,Study identifier,character,0,1,Adverse Events,one_record_per_event,STUDY | PATNUM | AEID,join_key,,,5
DM,dm_subject,ACTUAL_ARM,Actual treatment arm,character,0,2,Demographics,one_record_per_subject,STUDY | PATNUM,actual_arm,,,4
DM,dm_subject,ACTUAL_ARMCD,Actual treatment arm code,character,0,2,Demographics,one_record_per_subject,STUDY | PATNUM,actual_arm_code,,,4
DM,dm_subject,AGE,AGE,numeric,0,4,Demographics,one_record_per_subject,STUDY | PATNUM,age,,,4
DM,dm_subject,COUNTRY,Country,character,0,2,Demographics,one_record_per_subject,STUDY | PATNUM,country,,,4
DM,dm_subject,ETHNIC,ETHNIC,character,0,2,Demographics,one_record_per_subject,STUDY | PATNUM,ethnicity,,,4
DM,dm_subject,IC_DT,Informed consent date,character,0,4,Demographics,one_record_per_subject,STUDY | PATNUM,date,m/d/y,,4
DM,dm_subject,PATNUM,Subject identifier,character,0,4,Demographics,one_record_per_subject,STUDY | PATNUM,subject_identifier | site_and_subject_identifier,,,4
DM,dm_subject,PLANNED_ARM,Planned treatment arm,character,0,2,Demographics,one_record_per_subject,STUDY | PATNUM,planned_arm,,,4
DM,dm_subject,PLANNED_ARMCD,Planned treatment arm code,character,0,2,Demographics,one_record_per_subject,STUDY | PATNUM,planned_arm_code,,,4
DM,dm_subject,RACE,RACE,character,0,3,Demographics,one_record_per_subject,STUDY | PATNUM,race,,,4
DM,dm_subject,SEX,SEX,character,0,2,Demographics,one_record_per_subject,STUDY | PATNUM,sex,,,4
DM,dm_subject,STUDY,Study identifier,character,0,1,Demographics,one_record_per_subject,STUDY | PATNUM,study_identifier,,,4
DM,ex_a_raw,EXSTDAT,EXSTDAT,character,0,3,Exposure A,many_records_per_subject,STUDY | PATNUM,date,m/d/y_or_d/m/y,,5
DM,ex_a_raw,EXSTTIM,EXSTTIM,hms,0,5,Exposure A,many_records_per_subject,STUDY | PATNUM,time,H:M,,5
DM,ex_a_raw,PATNUM,Subject identifier,character,0,4,Exposure A,many_records_per_subject,STUDY | PATNUM,,,,5
DM,ex_a_raw,STUDY,Study identifier,character,0,1,Exposure A,many_records_per_subject,STUDY | PATNUM,,,,5
