task_id,assembly_group_id,step_order,transform_id,source_ref_ids,target_variables,parameters,parameter_sources
DM_STUDY_IDENTIFIER,DM_CORE,1,assign_no_ct,"""dm_subject__STUDY""","""STUDYID""",[],[]
DM_DOMAIN_CONSTANT,DM_CORE,1,hardcode_no_ct,[],"""DOMAIN""","{""value"":""DM""}","{""value"":{""source"":""reviewer"",""reference"":""fixed_test_response""}}"
DM_UNIQUE_SUBJECT_IDENTIFIER,DM_CORE,1,derive_usubjid,"[""dm_subject__STUDY"",""dm_subject__PATNUM""]","""USUBJID""","{""separator"":""-""}","{""separator"":{""source"":""reviewer"",""reference"":""fixed_test_response""}}"
DM_SUBJECT_IDENTIFIER,DM_CORE,1,assign_no_ct,"""dm_subject__PATNUM""","""SUBJID""",[],[]
DM_SITE_IDENTIFIER,DM_CORE,1,extract_delimited_part,"""dm_subject__PATNUM""","""SITEID""","{""separator"":""-"",""position"":1}","{""separator"":{""source"":""reviewer"",""reference"":""fixed_test_response""},""position"":{""source"":""reviewer"",""reference"":""fixed_test_response""}}"
DM_REFERENCE_START,DM_REFERENCE_START,1,derive_reference_datetime,"[""ex_a_raw__EXSTDAT"",""ex_a_raw__EXSTTIM"",""ex_b_raw__DOSE_DATE"",""ex_b_raw__DOSE_TIME""]","""RFSTDTC""","{""selection"":""min"",""subject_keys"":""PATNUM"",""sources"":[{""dataset"":""ex_a_raw"",""date_variable"":""EXSTDAT"",""time_variable"":""EXSTTIM"",""date_formats"":""m/d/y"",""time_formats"":""H:M""},{""dataset"":""ex_b_raw"",""date_variable"":""DOSE_DATE"",""time_variable"":""DOSE_TIME"",""date_formats"":""dd-mmm-yyyy"",""time_formats"":""H:M""}]}","{""selection"":{""source"":""reviewer"",""reference"":""fixed_test_response""},""subject_keys"":{""source"":""reviewer"",""reference"":""fixed_test_response""},""sources"":{""source"":""reviewer"",""reference"":""fixed_test_response""}}"
DM_CONSENT,DM_CONSENT,1,to_iso8601_date,"""dm_subject__IC_DT""","""RFICDTC""","{""formats"":""m/d/y""}","{""formats"":{""source"":""reviewer"",""reference"":""fixed_test_response""}}"
DM_AGE,DM_DEMOGRAPHICS,1,assign_no_ct,"""dm_subject__AGE""","""AGE""",[],[]
DM_AGE_UNIT,DM_DEMOGRAPHICS,1,hardcode_ct,[],"""AGEU""","{""value"":""YEARS"",""codelist_id"":""AGEU""}","{""value"":{""source"":""reviewer"",""reference"":""fixed_test_response""},""codelist_id"":{""source"":""reviewer"",""reference"":""fixed_test_response""}}"
DM_SEX,DM_DEMOGRAPHICS,1,assign_ct,"""dm_subject__SEX""","""SEX""","{""codelist_id"":""SEX""}","{""codelist_id"":{""source"":""reviewer"",""reference"":""fixed_test_response""}}"
DM_ETHNICITY,DM_DEMOGRAPHICS,1,assign_ct,"""dm_subject__ETHNIC""","""ETHNIC""","{""codelist_id"":""ETHNIC""}","{""codelist_id"":{""source"":""reviewer"",""reference"":""fixed_test_response""}}"
DM_RACE,DM_DEMOGRAPHICS,1,assign_ct,"""dm_subject__RACE""","""RACE""","{""codelist_id"":""RACE""}","{""codelist_id"":{""source"":""reviewer"",""reference"":""fixed_test_response""}}"
DM_COUNTRY,DM_DEMOGRAPHICS,1,assign_no_ct,"""dm_subject__COUNTRY""","""COUNTRY""",[],[]
DM_PLANNED_ARM_CODE,DM_TREATMENT,1,assign_no_ct,"""dm_subject__PLANNED_ARMCD""","""ARMCD""",[],[]
DM_PLANNED_ARM,DM_TREATMENT,1,assign_no_ct,"""dm_subject__PLANNED_ARM""","""ARM""",[],[]
DM_ACTUAL_ARM_CODE,DM_TREATMENT,1,assign_no_ct,"""dm_subject__ACTUAL_ARMCD""","""ACTARMCD""",[],[]
DM_ACTUAL_ARM,DM_TREATMENT,1,assign_no_ct,"""dm_subject__ACTUAL_ARM""","""ACTARM""",[],[]
AE_SOURCE_INTEGRATION,AE_SOURCE_INTEGRATION,1,merge_sources,"[""ae_main__STUDY"",""ae_main__PATNUM"",""ae_main__AEID"",""sae_detail__STUDY"",""sae_detail__PATNUM"",""sae_detail__AEID"",""sae_detail__AESHOSP""]",[],"{""left_dataset"":""ae_main"",""right_dataset"":""sae_detail"",""output_dataset"":""ae_merged"",""by"":{""STUDY"":""STUDY"",""PATNUM"":""PATNUM"",""AEID"":""AEID""},""relationship"":""one-to-one"",""join_type"":""left"",""select"":""AESHOSP"",""conflict_policy"":""error""}","{""left_dataset"":{""source"":""reviewer"",""reference"":""fixed_test_response""},""right_dataset"":{""source"":""reviewer"",""reference"":""fixed_test_response""},""output_dataset"":{""source"":""reviewer"",""reference"":""fixed_test_response""},""by"":{""source"":""reviewer"",""reference"":""fixed_test_response""},""relationship"":{""source"":""reviewer"",""reference"":""fixed_test_response""},""join_type"":{""source"":""reviewer"",""reference"":""fixed_test_response""},""select"":{""source"":""reviewer"",""reference"":""fixed_test_response""},""conflict_policy"":{""source"":""reviewer"",""reference"":""fixed_test_response""}}"
AE_STUDY_IDENTIFIER,AE_CORE,1,assign_no_ct,"""ae_merged__STUDY""","""STUDYID""",[],[]
AE_DOMAIN_CONSTANT,AE_CORE,1,hardcode_no_ct,[],"""DOMAIN""","{""value"":""AE""}","{""value"":{""source"":""reviewer"",""reference"":""fixed_test_response""}}"
AE_UNIQUE_SUBJECT_IDENTIFIER,AE_CORE,1,derive_usubjid,"[""ae_merged__STUDY"",""ae_merged__PATNUM""]","""USUBJID""","{""separator"":""-""}","{""separator"":{""source"":""reviewer"",""reference"":""fixed_test_response""}}"
AE_REPORTED_TERM,AE_TERMS,1,assign_no_ct,"""ae_merged__AETERM""","""AETERM""",[],[]
AE_CODED_TERM,AE_TERMS,1,assign_no_ct,"""ae_merged__AEDECOD""","""AEDECOD""",[],[]
AE_BODY_SYSTEM,AE_TERMS,1,normalize_case,"""ae_merged__AEBODSYS""","""AEBODSYS""","{""case"":""upper""}","{""case"":{""source"":""reviewer"",""reference"":""fixed_test_response""}}"
AE_SEVERITY,AE_SAFETY,1,assign_ct,"""ae_merged__AESEV""","""AESEV""","{""codelist_id"":""AESEV""}","{""codelist_id"":{""source"":""reviewer"",""reference"":""fixed_test_response""}}"
AE_SERIOUS,AE_SAFETY,1,assign_ct,"""ae_merged__AESER""","""AESER""","{""codelist_id"":""NY""}","{""codelist_id"":{""source"":""reviewer"",""reference"":""fixed_test_response""}}"
AE_HOSPITALIZATION,AE_SAFETY,1,assign_ct,"""ae_merged__AESHOSP""","""AESHOSP""","{""codelist_id"":""NY""}","{""codelist_id"":{""source"":""reviewer"",""reference"":""fixed_test_response""}}"
AE_RELATIONSHIP,AE_REL_OUTCOME,1,assign_ct,"""ae_merged__AEREL""","""AEREL""","{""codelist_id"":""AEREL""}","{""codelist_id"":{""source"":""reviewer"",""reference"":""fixed_test_response""}}"
AE_OUTCOME,AE_REL_OUTCOME,1,assign_ct,"""ae_merged__AEOUTCOME""","""AEOUT""","{""codelist_id"":""AEOUT""}","{""codelist_id"":{""source"":""reviewer"",""reference"":""fixed_test_response""}}"
AE_START_DATETIME,AE_START,1,to_iso8601_partial_datetime,"[""ae_merged__AESTDAT"",""ae_merged__AESTTIM""]","""AESTDTC""","{""formats"":[""dd-mmm-yyyy"",""H:M""],""unknown_tokens"":[""UNK"",""UN""]}","{""formats"":{""source"":""reviewer"",""reference"":""fixed_test_response""},""unknown_tokens"":{""source"":""reviewer"",""reference"":""fixed_test_response""}}"
AE_START_STUDY_DAY,AE_START,1,derive_study_day,[],"""AESTDY""","{""target_date"":""AESTDTC"",""reference_date"":""RFSTDTC""}","{""target_date"":{""source"":""reviewer"",""reference"":""fixed_test_response""},""reference_date"":{""source"":""reviewer"",""reference"":""fixed_test_response""}}"
AE_END_DATETIME,AE_END,1,to_iso8601_partial_datetime,"[""ae_merged__AEENDDAT"",""ae_merged__AEENDTIM""]","""AEENDTC""","{""formats"":[""dd-mmm-yyyy"",""H:M""],""unknown_tokens"":[""UNK"",""UN""]}","{""formats"":{""source"":""reviewer"",""reference"":""fixed_test_response""},""unknown_tokens"":{""source"":""reviewer"",""reference"":""fixed_test_response""}}"
AE_ONGOING_STATUS,AE_END,1,derive_ongoing_flag,"[""ae_merged__AEENDDAT"",""ae_merged__AEONGO""]","""AEENRF""","{""ongoing_value"":""ONGOING"",""affirmative_values"":[""Y"",""Yes""]}","{""ongoing_value"":{""source"":""reviewer"",""reference"":""fixed_test_response""},""affirmative_values"":{""source"":""reviewer"",""reference"":""fixed_test_response""}}"
AE_END_STUDY_DAY,AE_END,1,derive_study_day,[],"""AEENDY""","{""target_date"":""AEENDTC"",""reference_date"":""RFSTDTC""}","{""target_date"":{""source"":""reviewer"",""reference"":""fixed_test_response""},""reference_date"":{""source"":""reviewer"",""reference"":""fixed_test_response""}}"
AE_SEQUENCE,AE_SEQUENCE,1,derive_sequence,[],"""AESEQ""","{""record_variables"":[""STUDYID"",""USUBJID"",""AESTDTC"",""AETERM"",""AEDECOD"","".SOURCE_ROW""],""start_at"":1}","{""record_variables"":{""source"":""reviewer"",""reference"":""fixed_test_response""},""start_at"":{""source"":""reviewer"",""reference"":""fixed_test_response""}}"
VS_STUDY_IDENTIFIER,VS_CORE,1,assign_no_ct,"""vs_mixed__STUDY""","""STUDYID""",[],[]
VS_DOMAIN_CONSTANT,VS_CORE,1,hardcode_no_ct,[],"""DOMAIN""","{""value"":""VS""}","{""value"":{""source"":""reviewer"",""reference"":""fixed_test_response""}}"
VS_UNIQUE_SUBJECT_IDENTIFIER,VS_CORE,1,derive_usubjid,"[""vs_mixed__STUDY"",""vs_mixed__PATNUM""]","""USUBJID""","{""separator"":""-""}","{""separator"":{""source"":""reviewer"",""reference"":""fixed_test_response""}}"
VS_VISIT,VS_CORE,1,assign_no_ct,"""vs_mixed__INSTANCE""","""VISIT""",[],[]
VS_VISIT_NUMBER,VS_CORE,1,derive_visitnum,"""vs_mixed__INSTANCE""","""VISITNUM""","{""visit_map_id"":""trace_visits_v1""}","{""visit_map_id"":{""source"":""reviewer"",""reference"":""fixed_test_response""}}"
