source_domain,source_dataset,source_variable,label,data_type,example_values,missing_rate,unique_count,form_name,record_count
AE,ae_raw,AEBODSYS,Adverse event body system,character,Nervous system disorders | Gastrointestinal disorders | General disorders and administration site conditions | Skin a...,0,4,ae_raw,8
AE,ae_raw,AEDECOD,Coded adverse event term,character,HEADACHE | NAUSEA | APPLICATION SITE ERYTHEMA | DIZZINESS | FATIGUE,0,7,ae_raw,8
AE,ae_raw,AEOUTCOME,Adverse event outcome,character,Recovered/Resolved | Not Recovered/not Resolved | Recovering/Resolving,0,3,ae_raw,8
AE,ae_raw,FOLDER,FOLDER,character,AE,0,1,ae_raw,8
AE,ae_raw,FOLDERL,FOLDERL,character,Adverse Events,0,1,ae_raw,8
AE,ae_raw,IT.AEENDAT,Adverse event end date,character,01/07/2025 | 01/08/2025 | 01/15/2025 | 01/09/2025 | 01/13/2025,0.25,5,ae_raw,8
AE,ae_raw,IT.AEREL,Adverse event relationship,character,Possibly Related | Probably Related | Unlikely Related | Not Related,0,4,ae_raw,8
AE,ae_raw,IT.AESER,Serious event indicator,character,No | Yes,0,2,ae_raw,8
AE,ae_raw,IT.AESEV,Adverse event severity,character,Mild Adverse Event | Moderate Adverse Event | Severe Adverse Event,0,3,ae_raw,8
AE,ae_raw,IT.AESHOSP,Hospitalization seriousness criterion,character,No | Yes,0,2,ae_raw,8
AE,ae_raw,IT.AESTDAT,Adverse event start date,character,01/06/2025 | 01/09/2025 | 01/08/2025 | 01/10/2025 | 01/11/2025,0,6,ae_raw,8
AE,ae_raw,IT.AETERM,Reported adverse event term,character,Headache | Nausea | Application site erythema | Dizziness | Fatigue,0,7,ae_raw,8
AE,ae_raw,PATNUM,Subject identifier,character,701-1001 | 701-1002 | 701-1003 | 702-1001 | 702-1002,0,6,ae_raw,8
AE,ae_raw,STUDY,Study identifier,character,TRACE001,0,1,ae_raw,8
DM,dm_raw,ACTUAL_ARM,Actual treatment arm,character,Placebo | Trace Drug 10 mg,0,2,dm_raw,6
DM,dm_raw,ACTUAL_ARMCD,Actual treatment arm code,character,PBO | TRT10,0,2,dm_raw,6
DM,dm_raw,COL_DT,COL DT,character,12/20/2024 | 12/21/2024 | 12/22/2024 | 12/23/2024 | 12/24/2024,0,6,dm_raw,6
DM,dm_raw,COUNTRY,Country,character,USA | CAN | GBR,0,3,dm_raw,6
DM,dm_raw,FIRST_DOSE_DT,First dose date,character,01/05/2025 | 01/06/2025 | 01/07/2025 | 01/08/2025,0,4,dm_raw,6
DM,dm_raw,IC_DT,Informed consent date,character,12/20/2024 | 12/21/2024 | 12/22/2024 | 12/23/2024 | 12/24/2024,0,6,dm_raw,6
DM,dm_raw,IT.AGE,Age,numeric,42 | 57 | 35 | 66 | 49,0,6,dm_raw,6
DM,dm_raw,IT.ETHNIC,Ethnicity,character,Not Hispanic or Latino | Hispanic or Latino | Unknown,0,3,dm_raw,6
DM,dm_raw,IT.RACE,Race,character,White | Asian | Black or African American | Multiple | American Indian or Alaska Native,0,5,dm_raw,6
DM,dm_raw,IT.SEX,Sex,character,Female | Male,0,2,dm_raw,6
DM,dm_raw,PATNUM,Subject identifier,character,701-1001 | 701-1002 | 701-1003 | 702-1001 | 702-1002,0,6,dm_raw,6
DM,dm_raw,PLANNED_ARM,Planned treatment arm,character,Placebo | Trace Drug 10 mg,0,2,dm_raw,6
DM,dm_raw,PLANNED_ARMCD,Planned treatment arm code,character,PBO | TRT10,0,2,dm_raw,6
DM,dm_raw,STUDY,Study identifier,character,TRACE001,0,1,dm_raw,6
VS,vs_raw,DIA_BP,Diastolic blood pressure,numeric,78 | 82 | 74 | 86 | 80,0,8,VS,12
VS,vs_raw,FORM,FORM,character,VS,0,1,VS,12
VS,vs_raw,FORML,FORML,character,Vital Signs,0,1,VS,12
VS,vs_raw,INSTANCE,Visit name,character,Screening 1 | Week 2,0,2,VS,12
VS,vs_raw,IT.HEIGHT_VSORRES,Height result,numeric,168 | 181 | 159 | 174 | 165,0.5,6,VS,12
VS,vs_raw,IT.TEMP,Temperature result,numeric,36.7 | 36.5 | 36.8 | 36.6 | 37,0,7,VS,12
VS,vs_raw,IT.TEMP_LOC,IT TEMP LOC,character,ORAL,0,1,VS,12
VS,vs_raw,IT.WEIGHT,Weight result,numeric,68 | 86 | 55 | 79 | 62,0.5,6,VS,12
VS,vs_raw,PATNUM,Subject identifier,character,701-1001 | 701-1002 | 701-1003 | 702-1001 | 702-1002,0,6,VS,12
VS,vs_raw,PULSE,Pulse rate,numeric,64 | 72 | 68 | 70 | 76,0,9,VS,12
VS,vs_raw,STUDY,Study identifier,character,TRACE001,0,1,VS,12
VS,vs_raw,SUBPOS,Body position,character,SUPINE | SITTING | STANDING,0,3,VS,12
VS,vs_raw,SYS_BP,Systolic blood pressure,numeric,122 | 130 | 116 | 138 | 124,0,10,VS,12
VS,vs_raw,TMPTC,TMPTC,character,After Rest,0,1,VS,12
VS,vs_raw,VTLD,Vital signs date,character,20-Dec-2024 | 21-Dec-2024 | 22-Dec-2024 | 23-Dec-2024 | 24-Dec-2024,0,10,VS,12
