concept_id,step_order,transform_id,source_keys,target_variables,parameters
AE_CORE,1,assign_no_ct,"[""ae_merged.STUDY""]","[""STUDYID""]",[]
AE_CORE,2,hardcode_no_ct,[],"[""DOMAIN""]","{""value"":""AE""}"
AE_CORE,3,derive_usubjid,"[""ae_merged.STUDY"",""ae_merged.PATNUM""]","[""USUBJID""]","{""separator"":""-""}"
AE_END,1,to_iso8601_partial_datetime,"[""ae_merged.AEENDDAT"",""ae_merged.AEENDTIM""]","[""AEENDTC""]","{""formats"":[""dd-mmm-yyyy"",""H:M""],""unknown_tokens"":[""UNK"",""UN""]}"
AE_END,2,derive_ongoing_flag,"[""ae_merged.AEENDDAT"",""ae_merged.AEONGO""]","[""AEENRF""]","{""ongoing_value"":""ONGOING"",""affirmative_values"":[""Y"",""Yes""]}"
AE_END,3,derive_study_day,[],"[""AEENDY""]","{""target_date"":""AEENDTC"",""reference_date"":""RFSTDTC""}"
AE_REL_OUTCOME,1,assign_ct,"[""ae_merged.AEREL""]","[""AEREL""]","{""codelist_id"":""AEREL""}"
AE_REL_OUTCOME,2,assign_ct,"[""ae_merged.AEOUTCOME""]","[""AEOUT""]","{""codelist_id"":""AEOUT""}"
AE_SAFETY,1,assign_ct,"[""ae_merged.AESEV""]","[""AESEV""]","{""codelist_id"":""AESEV""}"
AE_SAFETY,2,assign_ct,"[""ae_merged.AESER""]","[""AESER""]","{""codelist_id"":""NY""}"
AE_SAFETY,3,assign_ct,"[""ae_merged.AESHOSP""]","[""AESHOSP""]","{""codelist_id"":""NY""}"
AE_SEQUENCE,1,derive_sequence,[],"[""AESEQ""]","{""record_variables"":[""STUDYID"",""USUBJID"",""AESTDTC"",""AETERM"",""AEDECOD"","".SOURCE_ROW""],""start_at"":1}"
AE_SOURCE_INTEGRATION,1,merge_sources,"[""ae_main.STUDY"",""ae_main.PATNUM"",""ae_main.AEID"",""sae_detail.STUDY"",""sae_detail.PATNUM"",""sae_detail.AEID"",""sae_detail.AESHOSP""]",[],"{""left_dataset"":""ae_main"",""right_dataset"":""sae_detail"",""output_dataset"":""ae_merged"",""by"":{""STUDY"":""STUDY"",""PATNUM"":""PATNUM"",""AEID"":""AEID""},""relationship"":""one-to-one"",""join_type"":""left"",""select"":""AESHOSP"",""conflict_policy"":""error""}"
AE_START,1,to_iso8601_partial_datetime,"[""ae_merged.AESTDAT"",""ae_merged.AESTTIM""]","[""AESTDTC""]","{""formats"":[""dd-mmm-yyyy"",""H:M""],""unknown_tokens"":[""UNK"",""UN""]}"
