source_domain,source_dataset,source_variable,label,data_type,example_values,missing_rate,unique_count,form_name,grain,keys,concept_roles,format_candidates,partial_tokens,record_count
AE,ae_main,AEBODSYS,Adverse event body system,character,Nervous system disorders | Gastrointestinal disorders | General disorders and administration site conditions,0,3,Adverse Events,one_record_per_event,STUDY | PATNUM | AEID,,,,5
AE,ae_main,AEDECOD,Coded adverse event term,character,HEADACHE | NAUSEA | APPLICATION SITE ERYTHEMA | DIZZINESS | FATIGUE,0,5,Adverse Events,one_record_per_event,STUDY | PATNUM | AEID,,,,5
AE,ae_main,AEENDDAT,AEENDDAT,character,07-JAN-2025 | UNK-JAN-2025 | 10-JAN-2025 | 16-JAN-2025,0.2,4,Adverse Events,one_record_per_event,STUDY | PATNUM | AEID,,dd-mmm-yyyy,UNK,5
AE,ae_main,AEENDTIM,AEENDTIM,hms,09:15:00 | 11:00:00,0.6,2,Adverse Events,one_record_per_event,STUDY | PATNUM | AEID,,H:M,,5
AE,ae_main,AEID,AEID,numeric,1 | 2,0,2,Adverse Events,one_record_per_event,STUDY | PATNUM | AEID,join_key,,,5
AE,ae_main,AEONGO,AEONGO,character,No | Yes,0,2,Adverse Events,one_record_per_event,STUDY | PATNUM | AEID,,,,5
AE,ae_main,AEOUTCOME,Adverse event outcome,character,Recovered/Resolved | Recovering/Resolving | Not Recovered/not Resolved,0,3,Adverse Events,one_record_per_event,STUDY | PATNUM | AEID,,,,5
AE,ae_main,AEREL,AEREL,character,Possibly Related | Probably Related | Unlikely Related,0,3,Adverse Events,one_record_per_event,STUDY | PATNUM | AEID,,,,5
AE,ae_main,AESER,AESER,character,No | Yes,0,2,Adverse Events,one_record_per_event,STUDY | PATNUM | AEID,,,,5
AE,ae_main,AESEV,AESEV,character,Mild Adverse Event | Moderate Adverse Event | Severe Adverse Event,0,3,Adverse Events,one_record_per_event,STUDY | PATNUM | AEID,,,,5
AE,ae_main,AESTDAT,AESTDAT,character,06-JAN-2025 | UNK-JAN-2025 | UNK-UNK-2025 | 08-JAN-2025 | 15-JAN-2025,0,5,Adverse Events,one_record_per_event,STUDY | PATNUM | AEID,,dd-mmm-yyyy,UNK,5
AE,ae_main,AESTTIM,AESTTIM,hms,10:30:00 | 14:00:00,0.6,2,Adverse Events,one_record_per_event,STUDY | PATNUM | AEID,,H:M,,5
AE,ae_main,AETERM,AETERM,character,Headache | Nausea | Application site erythema | Dizziness | Fatigue,0,5,Adverse Events,one_record_per_event,STUDY | PATNUM | AEID,,,,5
AE,ae_main,PATNUM,Subject identifier,character,701-2001 | 701-2002 | 702-2003 | 702-2004,0,4,Adverse Events,one_record_per_event,STUDY | PATNUM | AEID,join_key,,,5
AE,ae_main,STUDY,Study identifier,character,TRACE002,0,1,Adverse Events,one_record_per_event,STUDY | PATNUM | AEID,join_key,,,5
DM,dm_subject,ACTUAL_ARM,Actual treatment arm,character,Placebo | Trace Drug 10 mg,0,2,Demographics,one_record_per_subject,STUDY | PATNUM,actual_arm,,,4
DM,dm_subject,ACTUAL_ARMCD,Actual treatment arm code,character,PBO | TRT10,0,2,Demographics,one_record_per_subject,STUDY | PATNUM,actual_arm_code,,,4
DM,dm_subject,AGE,AGE,numeric,42 | 57 | 35 | 64,0,4,Demographics,one_record_per_subject,STUDY | PATNUM,age,,,4
DM,dm_subject,COUNTRY,Country,character,USA | CAN,0,2,Demographics,one_record_per_subject,STUDY | PATNUM,country,,,4
