concept_id,target_domain,target_variables,source_datasets,source_fields,join_rule,aggregation_rule,transform_id,transform_parameters,implementation,sdtm_oak_version,unit_conversion_version,reviewer,reviewed_at,records_created
AE_CORE,AE,STUDYID,ae_raw,ae_raw.STUDY,,,assign_no_ct,[],sdtm.oak::assign_no_ct,0.2.0,,portfolio_demo_reviewer,2026-09-02T09:42:56Z,8
AE_CORE,AE,DOMAIN,,,,,hardcode_no_ct,"{""value"":""AE""}",sdtm.oak::hardcode_no_ct,0.2.0,,portfolio_demo_reviewer,2026-09-02T09:42:56Z,8
AE_CORE,AE,USUBJID,ae_raw,ae_raw.STUDY | ae_raw.PATNUM,,,derive_usubjid,"{""separator"":""-""}",TraceSDTM::derive_usubjid,,,portfolio_demo_reviewer,2026-09-02T09:42:56Z,8
AE_DATES,AE,AESTDTC,ae_raw,ae_raw.IT.AESTDAT,,,to_iso8601_date,"{""formats"":[""m/d/y"",""dd-mmm-yyyy"",""y-m-d""]}",sdtm.oak::create_iso8601,0.2.0,,portfolio_demo_reviewer,2026-09-02T09:42:57Z,8
AE_DATES,AE,AEENDTC,ae_raw,ae_raw.IT.AEENDAT,,,to_iso8601_date,"{""formats"":[""m/d/y"",""dd-mmm-yyyy"",""y-m-d""]}",sdtm.oak::create_iso8601,0.2.0,,portfolio_demo_reviewer,2026-09-02T09:42:57Z,8
AE_DATES,AE,AEENRF,ae_raw,ae_raw.IT.AEENDAT,,,derive_ongoing_flag,"{""ongoing_value"":""ONGOING"",""affirmative_values"":[""Y"",""Yes""]}",TraceSDTM::derive_ongoing_flag,,,portfolio_demo_reviewer,2026-09-02T09:42:57Z,8
AE_DATES,AE,AESTDY,,,,,derive_study_day,"{""target_date"":""AESTDTC"",""reference_date"":""RFSTDTC""}",sdtm.oak::derive_study_day,0.2.0,,portfolio_demo_reviewer,2026-09-02T09:42:57Z,8
AE_DATES,AE,AEENDY,,,,,derive_study_day,"{""target_date"":""AEENDTC"",""reference_date"":""RFSTDTC""}",sdtm.oak::derive_study_day,0.2.0,,portfolio_demo_reviewer,2026-09-02T09:42:57Z,8
AE_REL_OUTCOME,AE,AEREL,ae_raw,ae_raw.IT.AEREL,,,assign_ct,"{""codelist_id"":""AEREL""}",sdtm.oak::assign_ct,0.2.0,,portfolio_demo_reviewer,2026-09-02T09:42:57Z,8
AE_REL_OUTCOME,AE,AEOUT,ae_raw,ae_raw.AEOUTCOME,,,assign_ct,"{""codelist_id"":""AEOUT""}",sdtm.oak::assign_ct,0.2.0,,portfolio_demo_reviewer,2026-09-02T09:42:57Z,8
