source_domain,source_dataset,source_variable,label,data_type,example_values,missing_rate,unique_count,form_name,grain,keys,concept_roles,format_candidates,partial_tokens,record_count
AE,ae_raw,AEBODSYS,Adverse event body system,character,Nervous system disorders | Gastrointestinal disorders | General disorders and administration site conditions | Skin a...,0,4,Adverse Events,one_record_per_event,STUDY | PATNUM,body_system,,,8
AE,ae_raw,AEDECOD,Coded adverse event term,character,HEADACHE | NAUSEA | APPLICATION SITE ERYTHEMA | DIZZINESS | FATIGUE,0,7,Adverse Events,one_record_per_event,STUDY | PATNUM,coded_term,,,8
AE,ae_raw,AEOUTCOME,Adverse event outcome,character,Recovered/Resolved | Not Recovered/not Resolved | Recovering/Resolving,0,3,Adverse Events,one_record_per_event,STUDY | PATNUM,outcome,,,8
AE,ae_raw,FOLDER,FOLDER,character,AE,0,1,Adverse Events,one_record_per_event,STUDY | PATNUM,,,,8
AE,ae_raw,FOLDERL,FOLDERL,character,Adverse Events,0,1,Adverse Events,one_record_per_event,STUDY | PATNUM,,,,8
AE,ae_raw,IT.AEENDAT,Adverse event end date,character,01/07/2025 | 01/08/2025 | 01/15/2025 | 01/09/2025 | 01/13/2025,0.25,5,Adverse Events,one_record_per_event,STUDY | PATNUM,end_date,m/d/y_or_d/m/y,,8
AE,ae_raw,IT.AEREL,Adverse event relationship,character,Possibly Related | Probably Related | Unlikely Related | Not Related,0,4,Adverse Events,one_record_per_event,STUDY | PATNUM,causality,,,8
AE,ae_raw,IT.AESER,Serious event indicator,character,No | Yes,0,2,Adverse Events,one_record_per_event,STUDY | PATNUM,serious_indicator,,,8
AE,ae_raw,IT.AESEV,Adverse event severity,character,Mild Adverse Event | Moderate Adverse Event | Severe Adverse Event,0,3,Adverse Events,one_record_per_event,STUDY | PATNUM,severity,,,8
AE,ae_raw,IT.AESHOSP,Hospitalization seriousness criterion,character,No | Yes,0,2,Adverse Events,one_record_per_event,STUDY | PATNUM,hospitalization_indicator,,,8
AE,ae_raw,IT.AESTDAT,Adverse event start date,character,01/06/2025 | 01/09/2025 | 01/08/2025 | 01/10/2025 | 01/11/2025,0,6,Adverse Events,one_record_per_event,STUDY | PATNUM,start_date,m/d/y_or_d/m/y,,8
AE,ae_raw,IT.AETERM,Reported adverse event term,character,Headache | Nausea | Application site erythema | Dizziness | Fatigue,0,7,Adverse Events,one_record_per_event,STUDY | PATNUM,reported_term,,,8
AE,ae_raw,PATNUM,Subject identifier,character,701-1001 | 701-1002 | 701-1003 | 702-1001 | 702-1002,0,6,Adverse Events,one_record_per_event,STUDY | PATNUM,subject_identifier,,,8
AE,ae_raw,STUDY,Study identifier,character,TRACE001,0,1,Adverse Events,one_record_per_event,STUDY | PATNUM,study_identifier,,,8
DM,dm_raw,ACTUAL_ARM,Actual treatment arm,character,Placebo | Trace Drug 10 mg,0,2,Demographics,one_record_per_subject,STUDY | PATNUM,actual_arm,,,6
DM,dm_raw,ACTUAL_ARMCD,Actual treatment arm code,character,PBO | TRT10,0,2,Demographics,one_record_per_subject,STUDY | PATNUM,actual_arm_code,,,6
DM,dm_raw,COL_DT,COL DT,character,12/20/2024 | 12/21/2024 | 12/22/2024 | 12/23/2024 | 12/24/2024,0,6,Demographics,one_record_per_subject,STUDY | PATNUM,,m/d/y_or_d/m/y,,6
DM,dm_raw,COUNTRY,Country,character,USA | CAN | GBR,0,3,Demographics,one_record_per_subject,STUDY | PATNUM,country,,,6
DM,dm_raw,FIRST_DOSE_DT,First dose date,character,01/05/2025 | 01/06/2025 | 01/07/2025 | 01/08/2025,0,4,Demographics,one_record_per_subject,STUDY | PATNUM,reference_start,m/d/y_or_d/m/y,,6
DM,dm_raw,IC_DT,Informed consent date,character,12/20/2024 | 12/21/2024 | 12/22/2024 | 12/23/2024 | 12/24/2024,0,6,Demographics,one_record_per_subject,STUDY | PATNUM,informed_consent,m/d/y_or_d/m/y,,6
DM,dm_raw,IT.AGE,Age,numeric,42 | 57 | 35 | 66 | 49,0,6,Demographics,one_record_per_subject,STUDY | PATNUM,age,,,6
DM,dm_raw,IT.ETHNIC,Ethnicity,character,Not Hispanic or Latino | Hispanic or Latino | Unknown,0,3,Demographics,one_record_per_subject,STUDY | PATNUM,ethnicity,,Unk,6
DM,dm_raw,IT.RACE,Race,character,White | Asian | Black or African American | Multiple | American Indian or Alaska Native,0,5,Demographics,one_record_per_subject,STUDY | PATNUM,race,,,6
DM,dm_raw,IT.SEX,Sex,character,Female | Male,0,2,Demographics,one_record_per_subject,STUDY | PATNUM,sex,,,6
DM,dm_raw,PATNUM,Subject identifier,character,701-1001 | 701-1002 | 701-1003 | 702-1001 | 702-1002,0,6,Demographics,one_record_per_subject,STUDY | PATNUM,subject_identifier,,,6
DM,dm_raw,PLANNED_ARM,Planned treatment arm,character,Placebo | Trace Drug 10 mg,0,2,Demographics,one_record_per_subject,STUDY | PATNUM,planned_arm,,,6
DM,dm_raw,PLANNED_ARMCD,Planned treatment arm code,character,PBO | TRT10,0,2,Demographics,one_record_per_subject,STUDY | PATNUM,planned_arm_code,,,6
DM,dm_raw,STUDY,Study identifier,character,TRACE001,0,1,Demographics,one_record_per_subject,STUDY | PATNUM,study_identifier,,,6
VS,vs_raw,DIA_BP,Diastolic blood pressure,numeric,78 | 82 | 74 | 86 | 80,0,8,Vital Signs,one_record_per_subject_visit,STUDY | PATNUM | INSTANCE,result,,,12
VS,vs_raw,FORM,FORM,character,VS,0,1,Vital Signs,one_record_per_subject_visit,STUDY | PATNUM | INSTANCE,,,,12
VS,vs_raw,FORML,FORML,character,Vital Signs,0,1,Vital Signs,one_record_per_subject_visit,STUDY | PATNUM | INSTANCE,,,,12
VS,vs_raw,INSTANCE,Visit name,character,Screening 1 | Week 2,0,2,Vital Signs,one_record_per_subject_visit,STUDY | PATNUM | INSTANCE,visit,,,12
VS,vs_raw,IT.HEIGHT_VSORRES,Height result,numeric,168 | 181 | 159 | 174 | 165,0.5,6,Vital Signs,one_record_per_subject_visit,STUDY | PATNUM | INSTANCE,result,,,12
VS,vs_raw,IT.TEMP,Temperature result,numeric,36.7 | 36.5 | 36.8 | 36.6 | 37,0,7,Vital Signs,one_record_per_subject_visit,STUDY | PATNUM | INSTANCE,result,,,12
VS,vs_raw,IT.TEMP_LOC,IT TEMP LOC,character,ORAL,0,1,Vital Signs,one_record_per_subject_visit,STUDY | PATNUM | INSTANCE,,,,12
VS,vs_raw,IT.WEIGHT,Weight result,numeric,68 | 86 | 55 | 79 | 62,0.5,6,Vital Signs,one_record_per_subject_visit,STUDY | PATNUM | INSTANCE,result,,,12
VS,vs_raw,PATNUM,Subject identifier,character,701-1001 | 701-1002 | 701-1003 | 702-1001 | 702-1002,0,6,Vital Signs,one_record_per_subject_visit,STUDY | PATNUM | INSTANCE,subject_identifier,,,12
VS,vs_raw,PULSE,Pulse rate,numeric,64 | 72 | 68 | 70 | 76,0,9,Vital Signs,one_record_per_subject_visit,STUDY | PATNUM | INSTANCE,result,,,12
VS,vs_raw,STUDY,Study identifier,character,TRACE001,0,1,Vital Signs,one_record_per_subject_visit,STUDY | PATNUM | INSTANCE,study_identifier,,,12
VS,vs_raw,SUBPOS,Body position,character,SUPINE | SITTING | STANDING,0,3,Vital Signs,one_record_per_subject_visit,STUDY | PATNUM | INSTANCE,body_position,,,12
VS,vs_raw,SYS_BP,Systolic blood pressure,numeric,122 | 130 | 116 | 138 | 124,0,10,Vital Signs,one_record_per_subject_visit,STUDY | PATNUM | INSTANCE,result,,,12
VS,vs_raw,TMPTC,TMPTC,character,After Rest,0,1,Vital Signs,one_record_per_subject_visit,STUDY | PATNUM | INSTANCE,,,,12
VS,vs_raw,VTLD,Vital signs date,character,20-Dec-2024 | 21-Dec-2024 | 22-Dec-2024 | 23-Dec-2024 | 24-Dec-2024,0,10,Vital Signs,one_record_per_subject_visit,STUDY | PATNUM | INSTANCE,date,dd-mmm-yyyy,,12
