concept_id,candidate_rank,target_domain,form_name,complexity,gold_categories,proposed_categories,category_chain_correct,function_chain_correct,source_chain_correct,target_set_complete,missing_targets,extra_targets,parameter_values_correct,complete_plan_correct,parameter_schema_valid,recommendation_score,status,provenance,group_id
DM_CORE,1,DM,Demographics,complex,direct_assignment | field_combination,direct_assignment | field_combination,TRUE,TRUE,TRUE,TRUE,,,TRUE,TRUE,TRUE,1,proposed,reference_seed,dm_connected_01
DM_DATES,1,DM,Demographics,moderate,date_time_conversion,date_time_conversion,TRUE,TRUE,TRUE,TRUE,,,TRUE,TRUE,TRUE,1,proposed,reference_seed,dm_connected_01
DM_DEMOGRAPHICS,1,DM,Demographics,complex,direct_assignment | controlled_terminology,direct_assignment | controlled_terminology,TRUE,TRUE,TRUE,TRUE,,,TRUE,TRUE,TRUE,1,proposed,reference_seed,dm_connected_01
DM_TREATMENT,1,DM,Demographics,complex,direct_assignment,direct_assignment,TRUE,TRUE,TRUE,TRUE,,,TRUE,TRUE,TRUE,1,proposed,reference_seed,dm_connected_01
AE_CORE,1,AE,Adverse Events,moderate,direct_assignment | field_combination,direct_assignment | field_combination,TRUE,TRUE,TRUE,TRUE,,,TRUE,TRUE,TRUE,1,proposed,reference_seed,ae_connected_01
AE_TERMS,1,AE,Adverse Events,moderate,direct_assignment | character_normalization,direct_assignment | character_normalization,TRUE,TRUE,TRUE,TRUE,,,TRUE,TRUE,TRUE,1,proposed,reference_seed,ae_connected_01
AE_SAFETY,1,AE,Adverse Events,moderate,controlled_terminology,controlled_terminology,TRUE,TRUE,TRUE,TRUE,,,TRUE,TRUE,TRUE,1,proposed,reference_seed,ae_connected_01
AE_REL_OUTCOME,1,AE,Adverse Events,moderate,controlled_terminology,controlled_terminology,TRUE,TRUE,TRUE,TRUE,,,TRUE,TRUE,TRUE,1,proposed,reference_seed,ae_connected_01
AE_DATES,1,AE,Adverse Events,complex,date_time_conversion | conditional_derivation | temporal_derivation,date_time_conversion | conditional_derivation | temporal_derivation,TRUE,TRUE,TRUE,TRUE,,,TRUE,TRUE,TRUE,1,proposed,reference_seed,ae_connected_01
AE_SEQUENCE,1,AE,Adverse Events,moderate,temporal_derivation,temporal_derivation,TRUE,TRUE,TRUE,TRUE,,,TRUE,TRUE,TRUE,1,proposed,reference_seed,ae_connected_01
VS_CORE,1,VS,Vital Signs,complex,direct_assignment | field_combination | date_time_conversion | controlled_terminology | temporal_derivation,direct_assignment | field_combination | date_time_conversion | controlled_terminology | temporal_derivation,TRUE,TRUE,TRUE,TRUE,,,TRUE,TRUE,TRUE,1,proposed,reference_seed,vs_connected_01
VS_HEIGHT,1,VS,Vital Signs,complex,record_transposition | unit_conversion,record_transposition | unit_conversion,TRUE,TRUE,TRUE,TRUE,,,TRUE,TRUE,TRUE,1,proposed,reference_seed,vs_connected_01
VS_WEIGHT,1,VS,Vital Signs,complex,record_transposition | unit_conversion,record_transposition | unit_conversion,TRUE,TRUE,TRUE,TRUE,,,TRUE,TRUE,TRUE,1,proposed,reference_seed,vs_connected_01
VS_TEMP,1,VS,Vital Signs,complex,record_transposition | unit_conversion,record_transposition | unit_conversion,TRUE,TRUE,TRUE,TRUE,,,TRUE,TRUE,TRUE,1,proposed,reference_seed,vs_connected_01
VS_SYSBP,1,VS,Vital Signs,complex,record_transposition | unit_conversion,record_transposition | unit_conversion,TRUE,TRUE,TRUE,TRUE,,,TRUE,TRUE,TRUE,1,proposed,reference_seed,vs_connected_01
VS_DIABP,1,VS,Vital Signs,complex,record_transposition | unit_conversion,record_transposition | unit_conversion,TRUE,TRUE,TRUE,TRUE,,,TRUE,TRUE,TRUE,1,proposed,reference_seed,vs_connected_01
VS_PULSE,1,VS,Vital Signs,complex,record_transposition | unit_conversion,record_transposition | unit_conversion,TRUE,TRUE,TRUE,TRUE,,,TRUE,TRUE,TRUE,1,proposed,reference_seed,vs_connected_01
VS_POST_DERIVATIONS,1,VS,Vital Signs,moderate,temporal_derivation,temporal_derivation,TRUE,TRUE,TRUE,TRUE,,,TRUE,TRUE,TRUE,1,proposed,reference_seed,vs_connected_01
