concept_id,step_order,transform_id,source_keys,target_variables,parameters
AE_CORE,1,assign_no_ct,"[""ae_raw.STUDY""]","[""STUDYID""]",[]
AE_CORE,2,hardcode_no_ct,[],"[""DOMAIN""]","{""value"":""AE""}"
AE_CORE,3,derive_usubjid,"[""ae_raw.STUDY"",""ae_raw.PATNUM""]","[""USUBJID""]","{""separator"":""-""}"
AE_DATES,1,to_iso8601_date,"[""ae_raw.IT.AESTDAT""]","[""AESTDTC""]","{""formats"":[""m/d/y"",""dd-mmm-yyyy"",""y-m-d""]}"
AE_DATES,2,to_iso8601_date,"[""ae_raw.IT.AEENDAT""]","[""AEENDTC""]","{""formats"":[""m/d/y"",""dd-mmm-yyyy"",""y-m-d""]}"
AE_DATES,3,derive_ongoing_flag,"[""ae_raw.IT.AEENDAT""]","[""AEENRF""]","{""ongoing_value"":""ONGOING"",""affirmative_values"":[""Y"",""Yes""]}"
AE_DATES,4,derive_study_day,[],"[""AESTDY""]","{""target_date"":""AESTDTC"",""reference_date"":""RFSTDTC""}"
AE_DATES,5,derive_study_day,[],"[""AEENDY""]","{""target_date"":""AEENDTC"",""reference_date"":""RFSTDTC""}"
AE_REL_OUTCOME,1,assign_ct,"[""ae_raw.IT.AEREL""]","[""AEREL""]","{""codelist_id"":""AEREL""}"
AE_REL_OUTCOME,2,assign_ct,"[""ae_raw.AEOUTCOME""]","[""AEOUT""]","{""codelist_id"":""AEOUT""}"
AE_SAFETY,1,assign_ct,"[""ae_raw.IT.AESEV""]","[""AESEV""]","{""codelist_id"":""AESEV""}"
AE_SAFETY,2,assign_ct,"[""ae_raw.IT.AESER""]","[""AESER""]","{""codelist_id"":""NY""}"
AE_SAFETY,3,assign_ct,"[""ae_raw.IT.AESHOSP""]","[""AESHOSP""]","{""codelist_id"":""NY""}"
AE_SEQUENCE,1,derive_sequence,[],"[""AESEQ""]","{""record_variables"":[""STUDYID"",""USUBJID"",""AESTDTC"",""AETERM"",""AEDECOD"","".SOURCE_ROW""],""start_at"":1}"
AE_TERMS,1,assign_no_ct,"[""ae_raw.IT.AETERM""]","[""AETERM""]",[]
AE_TERMS,2,assign_no_ct,"[""ae_raw.AEDECOD""]","[""AEDECOD""]",[]
AE_TERMS,3,normalize_case,"[""ae_raw.AEBODSYS""]","[""AEBODSYS""]","{""case"":""upper""}"
DM_CORE,1,assign_no_ct,"[""dm_raw.STUDY""]","[""STUDYID""]",[]
DM_CORE,2,hardcode_no_ct,[],"[""DOMAIN""]","{""value"":""DM""}"
DM_CORE,3,derive_usubjid,"[""dm_raw.STUDY"",""dm_raw.PATNUM""]","[""USUBJID""]","{""separator"":""-""}"
DM_CORE,4,assign_no_ct,"[""dm_raw.PATNUM""]","[""SUBJID""]",[]
DM_CORE,5,extract_delimited_part,"[""dm_raw.PATNUM""]","[""SITEID""]","{""separator"":""-"",""position"":1}"
DM_DATES,1,to_iso8601_date,"[""dm_raw.FIRST_DOSE_DT""]","[""RFSTDTC""]","{""formats"":[""m/d/y"",""dd-mmm-yyyy"",""y-m-d""]}"
DM_DATES,2,to_iso8601_date,"[""dm_raw.IC_DT""]","[""RFICDTC""]","{""formats"":[""m/d/y"",""dd-mmm-yyyy"",""y-m-d""]}"
DM_DEMOGRAPHICS,1,assign_no_ct,"[""dm_raw.IT.AGE""]","[""AGE""]",[]
DM_DEMOGRAPHICS,2,hardcode_ct,[],"[""AGEU""]","{""value"":""YEARS"",""codelist_id"":""AGEU""}"
DM_DEMOGRAPHICS,3,assign_ct,"[""dm_raw.IT.SEX""]","[""SEX""]","{""codelist_id"":""SEX""}"
DM_DEMOGRAPHICS,4,assign_ct,"[""dm_raw.IT.ETHNIC""]","[""ETHNIC""]","{""codelist_id"":""ETHNIC""}"
DM_DEMOGRAPHICS,5,assign_ct,"[""dm_raw.IT.RACE""]","[""RACE""]","{""codelist_id"":""RACE""}"
DM_DEMOGRAPHICS,6,assign_no_ct,"[""dm_raw.COUNTRY""]","[""COUNTRY""]",[]
DM_TREATMENT,1,assign_no_ct,"[""dm_raw.PLANNED_ARMCD""]","[""ARMCD""]",[]
DM_TREATMENT,2,assign_no_ct,"[""dm_raw.PLANNED_ARM""]","[""ARM""]",[]
DM_TREATMENT,3,assign_no_ct,"[""dm_raw.ACTUAL_ARMCD""]","[""ACTARMCD""]",[]
DM_TREATMENT,4,assign_no_ct,"[""dm_raw.ACTUAL_ARM""]","[""ACTARM""]",[]
VS_CORE,1,assign_no_ct,"[""vs_raw.STUDY""]","[""STUDYID""]",[]
VS_CORE,2,hardcode_no_ct,[],"[""DOMAIN""]","{""value"":""VS""}"
VS_CORE,3,derive_usubjid,"[""vs_raw.STUDY"",""vs_raw.PATNUM""]","[""USUBJID""]","{""separator"":""-""}"
VS_CORE,4,assign_no_ct,"[""vs_raw.INSTANCE""]","[""VISIT""]",[]
VS_CORE,5,to_iso8601_date,"[""vs_raw.VTLD""]","[""VSDTC""]","{""formats"":[""dd-mmm-yyyy"",""m/d/y"",""y-m-d""]}"
VS_CORE,6,assign_ct,"[""vs_raw.SUBPOS""]","[""VSPOS""]","{""codelist_id"":""VSPOS""}"
VS_CORE,7,derive_visitnum,"[""vs_raw.INSTANCE""]","[""VISITNUM""]","{""visit_map_id"":""trace_visits_v1""}"
VS_DIABP,1,transpose_findings,"[""vs_raw.DIA_BP""]","[""VSTESTCD"",""VSTEST"",""VSORRES"",""VSORRESU""]","{""test_code"":""DIABP"",""test_name"":""Diastolic Blood Pressure"",""original_unit"":""mmHg"",""unit_source"":null}"
VS_DIABP,2,standardize_unit,"[""vs_raw.DIA_BP""]","[""VSSTRESC"",""VSSTRESN"",""VSSTRESU""]","{""conversion_set_id"":""vs_standard_v1"",""target_unit"":""mmHg""}"
