mapping_id,target_domain,target_variable,target_value,transform_id,difficulty
DM001,DM,STUDYID,,direct_map,direct
DM003,DM,USUBJID,,derive_usubjid,derived
DM004,DM,SUBJID,,direct_map,direct
DM005,DM,RFSTDTC,,to_iso8601_date,date
DM006,DM,RFICDTC,,to_iso8601_date,date
DM007,DM,AGE,,direct_map,direct
DM009,DM,SEX,,map_controlled_term,controlled_term
DM010,DM,ETHNIC,,map_controlled_term,controlled_term
DM011,DM,RACE,,map_controlled_term,controlled_term
DM012,DM,COUNTRY,,direct_map,direct
DM013,DM,ARMCD,,direct_map,direct
DM014,DM,ARM,,direct_map,direct
DM015,DM,ACTARMCD,,direct_map,direct
DM016,DM,ACTARM,,direct_map,direct
DM017,DM,SITEID,,custom_transform,derived
AE001,AE,STUDYID,,direct_map,direct
AE003,AE,USUBJID,,derive_usubjid,derived
AE005,AE,AETERM,,direct_map,direct
AE006,AE,AEDECOD,,direct_map,direct
AE007,AE,AEBODSYS,,custom_transform,derived
AE008,AE,AESEV,,map_controlled_term,controlled_term
AE009,AE,AESER,,map_controlled_term,controlled_term
AE010,AE,AEREL,,map_controlled_term,controlled_term
AE011,AE,AEOUT,,map_controlled_term,controlled_term
AE012,AE,AESTDTC,,to_iso8601_date,date
AE013,AE,AEENDTC,,to_iso8601_date,date
AE014,AE,AESHOSP,,map_controlled_term,controlled_term
AE015,AE,AEENRF,,custom_transform,derived
VS001,VS,STUDYID,,direct_map,direct
VS003,VS,USUBJID,,derive_usubjid,derived
VS005,VS,VSDTC,,to_iso8601_date,date
VS006,VS,VSPOS,,custom_transform,derived
VS007,VS,VISIT,,direct_map,direct
VS008,VS,VISITNUM,,derive_visitnum,derived
VS101,VS,VSTESTCD,HEIGHT,transpose_findings,transpose
VS102,VS,VSTESTCD,WEIGHT,transpose_findings,transpose
VS103,VS,VSTESTCD,TEMP,transpose_findings,transpose
VS104,VS,VSTESTCD,SYSBP,transpose_findings,transpose
VS105,VS,VSTESTCD,DIABP,transpose_findings,transpose
VS106,VS,VSTESTCD,PULSE,transpose_findings,transpose
